0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
2.648000000000000000e+03,3.700000000000000000e+02,3.350000000000000000e+02,3.330000000000000000e+02,7.070000000000000000e+02,4.370000000000000000e+02,4.660000000000000000e+02
2.460966542750929591e+02,3.274336283185841125e+02,2.218543046357615935e+02,2.220000000000000284e+02,1.595936794582392793e+02,2.299999999999999716e+02,1.606896551724138135e+03
1.572000000000000000e+03,2.570000000000000000e+02,1.840000000000000000e+02,1.830000000000000000e+02,2.640000000000000000e+02,2.470000000000000000e+02,4.370000000000000000e+02
1.298000000000000000e+03,1.450000000000000000e+02,1.100000000000000000e+02,1.080000000000000000e+02,4.820000000000000000e+02,2.120000000000000000e+02,2.410000000000000000e+02
1.206319702602230564e+02,1.283185840707964473e+02,7.284768211920528813e+01,7.200000000000000000e+01,1.088036117381489873e+02,1.115789473684210407e+02,8.310344827586206975e+02
2.220000000000000000e+02,3.200000000000000000e+01,-4.100000000000000000e+01,-4.200000000000000000e+01,3.900000000000000000e+01,2.200000000000000000e+01,2.120000000000000000e+02
9.220000000000000000e+02,1.440000000000000000e+02,1.080000000000000000e+02,1.140000000000000000e+02,3.630000000000000000e+02,8.200000000000000000e+01,1.110000000000000000e+02
8.568773234200743616e+01,1.274336283185840699e+02,7.152317880794701921e+01,7.600000000000000000e+01,8.194130925507900542e+01,4.315789473684210975e+01,3.827586206896551744e+02
-1.540000000000000000e+02,3.100000000000000000e+01,-4.300000000000000000e+01,-3.600000000000000000e+01,-8.000000000000000000e+01,-1.080000000000000000e+02,8.200000000000000000e+01
8.200000000000000000e+02,1.270000000000000000e+02,9.100000000000000000e+01,9.700000000000000000e+01,3.460000000000000000e+02,6.500000000000000000e+01,9.400000000000000000e+01
7.620817843866170449e+01,1.123893805309734546e+02,6.026490066225165521e+01,6.466666666666665719e+01,7.810383747178329372e+01,3.421052631578947256e+01,3.241379310344827331e+02
-2.560000000000000000e+02,1.400000000000000000e+01,-6.000000000000000000e+01,-5.300000000000000000e+01,-9.700000000000000000e+01,-1.250000000000000000e+02,6.500000000000000000e+01
